"２，３日",e,〜である・になる（状態）客観
10%,e,〜である・になる（状態）客観
100%,e,〜である・になる（状態）客観
25%,e,〜である・になる（状態）客観
80%,e,〜である・になる（状態）客観
１０カ月,e,〜である・になる（状態）客観
１０時間,e,〜である・になる（状態）客観
１０数年,e,〜である・になる（状態）客観
１０年以上,e,〜である・になる（状態）客観
１０年近く,e,〜である・になる（状態）客観
１１ヶ月,e,〜である・になる（状態）客観
１１年,e,〜である・になる（状態）客観
１２年,e,〜である・になる（状態）客観
１３年,e,〜である・になる（状態）客観
１４年,e,〜である・になる（状態）客観
１５秒,e,〜である・になる（状態）客観
１６年,e,〜である・になる（状態）客観
１７年,e,〜である・になる（状態）客観
１９年,e,〜である・になる（状態）客観
１バイト,e,〜である・になる（状態）客観
１位,p,〜である・になる（状態）客観
１割,e,〜である・になる（状態）客観
１時間以上,e,〜である・になる（状態）客観
１時間以内,e,〜である・になる（状態）客観
１時間半,e,〜である・になる（状態）客観
１周年記念,p,〜である・になる（状態）客観
１週間以上,e,〜である・になる（状態）客観
１勝,p,〜する（出来事）
１体,e,〜である・になる（状態）客観
１通,e,〜である・になる（状態）客観
１日分,e,〜である・になる（状態）客観
１年近く,e,〜である・になる（状態）客観
１番,p,〜である・になる（状態）客観
１品,e,〜である・になる（状態）客観
１文,e,〜である・になる（状態）客観
２０年以上,e,〜である・になる（状態）客観
２０年近く,e,〜である・になる（状態）客観
２３時間,e,〜である・になる（状態）客観
２か月,e,〜である・になる（状態）客観
２ヵ月,e,〜である・になる（状態）客観
２位,e,〜である・になる（状態）客観
２階席,e,〜である・になる（状態）客観
２件目,e,〜である・になる（状態）客観
２時間,e,〜である・になる（状態）客観
２時間以上,e,〜である・になる（状態）客観
２時間半,e,〜である・になる（状態）客観
２次感染,n,〜する（出来事）
２失点,n,〜する（出来事）
２勝１敗,e,〜である・になる（状態）客観
２択,e,〜である・になる（状態）客観
２日,e,〜である・になる（状態）客観
２年近く,e,〜である・になる（状態）客観
２年半,e,〜である・になる（状態）客観
３０分位,e,〜である・になる（状態）客観
３０分程度,e,〜である・になる（状態）客観
３４年,e,〜である・になる（状態）客観
３５年,e,〜である・になる（状態）客観
３９歳,e,〜である・になる（状態）客観
３Ｒ,e,〜である・になる（状態）客観
３か月,e,〜である・になる（状態）客観
３タテ,e,〜である・になる（状態）客観
３チーム,e,〜である・になる（状態）客観
３位,e,〜である・になる（状態）客観
３回連続,e,〜である・になる（状態）客観
３割負担,e,〜である・になる（状態）客観
３週間,e,〜である・になる（状態）客観
３酔い,e,〜である・になる（状態）客観
３連打,e,〜である・になる（状態）客観
３連敗,n,〜する（出来事）
４か月,e,〜である・になる（状態）客観
４回目,e,〜である・になる（状態）客観
４時間,e,〜である・になる（状態）客観
４日,e,〜である・になる（状態）客観
４年,e,〜である・になる（状態）客観
５０日,e,〜である・になる（状態）客観
５０年以上,e,〜である・になる（状態）客観
６００円,e,〜である・になる（状態）客観
６年,e,〜である・になる（状態）客観
７ヶ月,e,〜である・になる（状態）客観
７年,e,〜である・になる（状態）客観
７番,e,〜である・になる（状態）客観
８カ月,e,〜である・になる（状態）客観
８ヶ月,e,〜である・になる（状態）客観
８割,e,〜である・になる（状態）客観
９ヶ月,e,〜である・になる（状態）客観
９年,e,〜である・になる（状態）客観
９番,e,〜である・になる（状態）客観
ＡＤ,e,〜である・になる（状態）客観
ＡＩＤＳ,n,〜である・になる（状態）客観
ＡＴフィールド,p,〜がある・高まる（存在・性質）
Ａｍａｚｏｎ,e,〜である・になる（状態）客観
Ａ型肝炎,n,〜である・になる（状態）客観
ＢＢＣ,e,〜である・になる（状態）客観
ＢＩＧ,p,〜である・になる（状態）客観
ＢＯＴ,n,〜する（行為）
ＢＳＥ,n,〜である・になる（状態）客観
ＣＤ,e,〜がある・高まる（存在・性質）
ＣＮＮ,e,〜である・になる（状態）客観
Ｃ型肝炎,n,〜である・になる（状態）客観
ＤＶ,n,〜する（行為）
ＤＶＤ化,e,〜する（行為）
ＤｏＳ,e,〜である・になる（状態）客観
ＥＤ,n,〜である・になる（状態）客観
ＥＳ,e,〜である・になる（状態）客観
ＦＡＱ,e,〜がある・高まる（存在・性質）
ＨＩＶ,n,〜である・になる（状態）客観
ＨＩＶ感染,n,〜する（出来事）
ＨＰ,e,〜がある・高まる（存在・性質）
ＨＴＭＬ,e,〜である・になる（状態）客観
ＩＴ化,e,〜する（行為）
ＩＴ投資,e,〜する（行為）
ＫＯ,p,〜する（出来事）
ＭＲＳＡ,e,〜である・になる（状態）客観
ＮＧ,n,〜がある・高まる（存在・性質）
ＯＫ,e,〜する（行為）
ＯＬ,e,〜である・になる（状態）客観
ＯＰＡＣ,e,〜がある・高まる（存在・性質）
ＰＭＳ,n,〜である・になる（状態）客観
ＰＲ,e,〜する（行為）
ＰＴＳＤ,n,〜である・になる（状態）客観
Ｑ＆Ａ,e,〜がある・高まる（存在・性質）
